suspicious-document00005.txt-26	source-document01090.txt-9	no-obfuscation
suspicious-document00005.txt-27	source-document01090.txt-10	no-obfuscation
suspicious-document00005.txt-28	source-document01090.txt-11	no-obfuscation
suspicious-document00005.txt-29	source-document01090.txt-12	no-obfuscation
suspicious-document00005.txt-30	source-document01090.txt-13	no-obfuscation
suspicious-document00005.txt-32	source-document01496.txt-12	no-obfuscation
suspicious-document00005.txt-33	source-document01496.txt-13	no-obfuscation
suspicious-document00005.txt-34	source-document01496.txt-14	no-obfuscation
suspicious-document00005.txt-52	source-document01496.txt-1	no-obfuscation
suspicious-document00005.txt-53	source-document01496.txt-2	no-obfuscation
suspicious-document00005.txt-54	source-document01496.txt-3	no-obfuscation
suspicious-document00005.txt-55	source-document01496.txt-4	no-obfuscation
suspicious-document00005.txt-35	source-document02886.txt-7	no-obfuscation
suspicious-document00005.txt-36	source-document02886.txt-8	no-obfuscation
suspicious-document00005.txt-37	source-document02886.txt-9	no-obfuscation
suspicious-document00005.txt-42	source-document02886.txt-1	no-obfuscation
suspicious-document00005.txt-43	source-document02886.txt-2	no-obfuscation
suspicious-document00005.txt-44	source-document02886.txt-3	no-obfuscation
suspicious-document00005.txt-45	source-document02886.txt-4	no-obfuscation
suspicious-document00005.txt-46	source-document02886.txt-5	no-obfuscation
suspicious-document00013.txt-7	source-document00010.txt-6	no-obfuscation
suspicious-document00013.txt-8	source-document00010.txt-7	no-obfuscation
suspicious-document00013.txt-9	source-document00010.txt-8	no-obfuscation
suspicious-document00013.txt-10	source-document00010.txt-9	no-obfuscation
suspicious-document00013.txt-11	source-document00010.txt-10	no-obfuscation
suspicious-document00013.txt-16	source-document00111.txt-3	no-obfuscation
suspicious-document00013.txt-17	source-document00111.txt-4	no-obfuscation
suspicious-document00013.txt-18	source-document00111.txt-5	no-obfuscation
suspicious-document00013.txt-19	source-document00111.txt-6	no-obfuscation
suspicious-document00013.txt-20	source-document00111.txt-7	no-obfuscation
suspicious-document00013.txt-49	source-document00615.txt-2	no-obfuscation
suspicious-document00013.txt-50	source-document00615.txt-3	no-obfuscation
suspicious-document00013.txt-51	source-document00615.txt-4	no-obfuscation
suspicious-document00013.txt-52	source-document00615.txt-5	no-obfuscation
suspicious-document00013.txt-53	source-document00615.txt-6	no-obfuscation
suspicious-document00013.txt-54	source-document00615.txt-7	no-obfuscation
suspicious-document00013.txt-41	source-document00760.txt-2	no-obfuscation
suspicious-document00013.txt-42	source-document00760.txt-3	no-obfuscation
suspicious-document00013.txt-43	source-document00760.txt-4	no-obfuscation
suspicious-document00013.txt-44	source-document00760.txt-5	no-obfuscation
suspicious-document00013.txt-37	source-document02719.txt-8	no-obfuscation
suspicious-document00013.txt-38	source-document02719.txt-9	no-obfuscation
suspicious-document00013.txt-39	source-document02719.txt-10	no-obfuscation
suspicious-document00013.txt-40	source-document02719.txt-11	no-obfuscation
suspicious-document00013.txt-68	source-document02719.txt-1	no-obfuscation
suspicious-document00013.txt-69	source-document02719.txt-2	no-obfuscation
suspicious-document00013.txt-70	source-document02719.txt-3	no-obfuscation
suspicious-document00013.txt-71	source-document02719.txt-4	no-obfuscation
suspicious-document00013.txt-72	source-document02719.txt-5	no-obfuscation
suspicious-document00021.txt-72	source-document01093.txt-32	no-obfuscation
suspicious-document00021.txt-73	source-document01093.txt-33	no-obfuscation
suspicious-document00021.txt-74	source-document01093.txt-34	no-obfuscation
suspicious-document00021.txt-75	source-document01093.txt-35	no-obfuscation
suspicious-document00021.txt-1	source-document01693.txt-1	no-obfuscation
suspicious-document00021.txt-2	source-document01693.txt-2	no-obfuscation
suspicious-document00021.txt-3	source-document01693.txt-3	no-obfuscation
suspicious-document00021.txt-4	source-document01693.txt-4	no-obfuscation
